Personnummer,Etternavn,Inntekt,Gjeld,Bolig i utlandet,Tidligere etterforsket,Tidligere dømt,Selvstendig næringsdrivende,Grunn til mistanke
27038447861,Hansen,745331,5957594,Nei,Nei,Nei,Nei,Tips
25049803055,Johansen,1738998,5552271,Nei,Nei,Nei,Nei,Revisjon
13062318982,Olsen,1821405,1822248,Nei,Ja,Nei,Nei,Stikkprøve
17055705968,Larsen,1197025,4026803,Nei,Ja,Nei,Nei,Tips
17039308630,Andersen,1432906,4614269,Nei,Nei,Nei,Nei,Revisjon
21020085727,Pedersen,852161,1380692,Nei,Nei,Nei,Nei,Stikkprøve
25035028008,Nilsen,1867852,1710527,Nei,Ja,Nei,Nei,Tips
14108223449,Kristiansen,1109235,3670162,Nei,Ja,Nei,Nei,Stikkprøve
08042837629,Jensen,417754,3603528,Nei,Ja,Nei,Nei,Revisjon
12016445191,Karlsen,758727,5770817,Nei,Nei,Nei,Nei,Revisjon
11103935662,Johnsen,1057823,4235594,Nei,Ja,Nei,Ja,Stikkprøve
24060371500,Pettersen,1910606,5252072,Nei,Ja,Nei,Nei,Avvik i selvangivelse
19096313740,Eriksen,1794689,1066261,Nei,Ja,Nei,Ja,Avvik i selvangivelse
02090340193,Berg,609241,5657890,Nei,Nei,Nei,Ja,Tips
11063320880,Haugen,1248103,1683931,Nei,Nei,Nei,Nei,Avvik i selvangivelse
29062913825,Hagen,745616,1993981,Nei,Nei,Nei,Nei,Avvik i selvangivelse
22056821663,Johannessen,1108344,2306549,Nei,Nei,Nei,Nei,Stikkprøve
30100706020,Andreassen,617024,2994930,Nei,Nei,Nei,Nei,Revisjon
09083817388,Jacobsen,361725,3915636,Nei,Nei,Nei,Ja,Avvik i selvangivelse
06059409253,Dahl,1183939,1209599,Nei,Ja,Nei,Nei,Tips
04029721683,Jørgensen,1938609,5419473,Ja,Nei,Nei,Nei,Stikkprøve
10050627131,Henriksen,1068747,2764367,Nei,Nei,Nei,Nei,Avvik i selvangivelse
04098218969,Lund,1387579,2975670,Nei,Ja,Nei,Ja,Tips
07056414031,Halvorsen,960347,2082514,Ja,Ja,Nei,Nei,Tips
12045306974,Sørensen,909439,2003740,Nei,Nei,Nei,Ja,Revisjon
07115148200,Jakobsen,1987720,4115706,Ja,Nei,Nei,Nei,Revisjon
16094745407,Moen,1588903,2365316,Nei,Ja,Nei,Nei,Avvik i selvangivelse
10063722079,Gundersen,866646,5512014,Ja,Ja,Nei,Nei,Avvik i selvangivelse
06103303239,Iversen,1788641,5334193,Ja,Ja,Nei,Ja,Avvik i selvangivelse
08042735001,Strand,974538,627766,Nei,Ja,Ja,Nei,Avvik i selvangivelse
05125307762,Solberg,1743378,5074690,Ja,Ja,Nei,Nei,Tips
23018216345,Svendsen,1913737,4339002,Nei,Nei,Nei,Ja,Tips
06052402520,Eide,421029,2140003,Nei,Ja,Nei,Nei,Tips
10105137805,Knutsen,1235178,4790352,Ja,Ja,Nei,Nei,Stikkprøve
06092216290,Martinsen,1782838,4904036,Nei,Ja,Nei,Nei,Avvik i selvangivelse
20120440277,Paulsen,1792712,2789336,Nei,Nei,Nei,Nei,Avvik i selvangivelse
20083545241,Bakken,1482268,1503970,Nei,Ja,Nei,Nei,Tips
03069247759,Kristoffersen,1554396,1656961,Nei,Nei,Nei,Ja,Avvik i selvangivelse
10012334848,Mathisen,1977770,1707537,Ja,Ja,Nei,Nei,Revisjon
03106300835,Lie,1662931,1773211,Ja,Ja,Ja,Nei,Stikkprøve
17085220306,Amundsen,495790,1814791,Nei,Nei,Nei,Nei,Avvik i selvangivelse
03039413891,Nguyen,1347709,1785155,Nei,Ja,Nei,Ja,Revisjon
26113842422,Rasmussen,516907,945321,Nei,Ja,Nei,Nei,Stikkprøve
02115309342,Ali,1914726,2886224,Nei,Ja,Nei,Nei,Revisjon
20101218652,Lunde,804104,3623112,Ja,Ja,Nei,Nei,Tips
16107138599,Solheim,1870481,4589655,Nei,Ja,Nei,Nei,Tips
27088222372,Berge,1405607,3132710,Nei,Nei,Nei,Ja,Stikkprøve
18108043993,Moe,425568,2736287,Nei,Nei,Nei,Nei,Avvik i selvangivelse
05044218773,Nygård,1327343,4868583,Nei,Ja,Ja,Nei,Revisjon
